timestamp,x,y,z
109000433310,0.9375,6.875,-1.75
109000449837,-0.9375,7,-2.5
109000472365,-5.1875,4.375,-2.1875
109000486690,-1.4375,1.125,-1.625
109000509758,0,0.25,-1.5
109000532296,-0.5625,0.5625,-0.6875
109000553432,0.1875,2.125,1
109000569802,-1.0625,4.375,1.125
109000592365,-3.1875,4.375,-0.75
109000613428,-5.75,3.75,-1.125
109000630382,-7.625,4.75,-0.6875
109000652383,-7.5625,2.25,-1.5
109000673480,-5.875,2,-1.6875
109000689884,-4.125,1.9375,-0.375
109000712360,-1.1875,0.9375,-0.4375
109000733445,-1.625,-0.125,-1
109000749820,-0.6875,-0.5625,-0.3125
109000772366,3.125,-0.25,0.375
109000793549,2.6875,0.25,0.375
109000809819,0.875,0.0625,0.5625
109000832322,0.0625,0.125,0.75
109000853478,-1.5625,3.8125,2.1875
109000869746,-3.5,7.375,1.5
109000892773,-0.25,4.3125,-0.875
109000913462,2.6875,0.0625,-3.125
109000929848,6,-0.0625,-1.9375
109000952345,5.3125,1.75,0.8125
109000974792,3.75,1.875,1.125
109000989799,-1.625,0.8125,-0.5
109001012341,-5,0.625,-0.75
109001034793,-4.5,1.1875,0.75
109001049826,-0.875,2.25,0.5625
109001072314,-0.875,2.5,0.1875
109001094827,-2.6875,1.75,-0.25
109001109172,-3.6875,0.4375,-0.875
109001132308,-3.8125,-0.6875,-0.6875
109001154794,-1.0625,-1.875,0.0625
109001169128,1.8125,-3.25,-0.3125
109001192358,4.625,-2.9375,-0.1875
109001214862,5.5,-0.375,0.625
109001229150,0.9375,1.6875,1.25
109001259852,-2.8125,0.4375,-0.375
109001274821,-4.3125,-0.3125,-1.875
109001289169,-2.875,-0.3125,-0.9375
109001312367,-1.0625,-0.5625,0
109001334844,0.875,-0.8125,0.9375
109001349184,3.375,-0.1875,0.1875
109001372324,1.1875,0.875,-0.5625
109001394816,-1.875,0.25,-0.125
109001409179,-0.9375,-0.5625,-0.25
109001432343,-0.0625,-0.9375,0.25
109001454871,0.25,-1.375,1
109001475962,0.9375,-4.1875,1.0625
109001492374,-2.75,-7.9375,0.25
109001514772,-3.3125,-8.8125,-1.1875
109001536026,3.1875,-5.9375,1.5625
109001552304,1.1875,-4.1875,3.4375
109001574883,-6.5,-7.25,1.5625
109001596007,-6.0625,-10.25,-1.625
109001612386,1.875,-9.6875,-0.4375
109001634863,8.125,-5.4375,2.6875
109001655736,6.3125,-5,2.75
109001672421,1.8125,-9.6875,-2.3125
109001694891,7.375,-12.8125,-3
109001715931,15.0625,-12.125,-2.0625
109001739899,11.125,-9.3125,-0.5625
109001754852,10.25,-7.3125,2.0625
109001775966,7.6875,-5.3125,0.8125
109001792402,2.6875,-3.125,1.625
109001814901,-0.625,-0.75,2.25
109001835954,-2.0625,-1.8125,2.3125
109001852342,-6.0625,-3.625,0.5625
109001874840,-2.375,-6,-0.6875
109001897357,1.0625,-4.3125,-1.125
109001912361,3.875,-1.8125,0.625
109001934922,3.875,-0.125,1.4375
109001957452,0.9375,2.1875,1.5625
109001972391,-3.5,1.1875,1.4375
109001994927,-8.875,-3.0625,1.8125
109002017314,-8.3125,-6.25,1.25
109002031630,0.8125,-5.625,0.6875
109002054817,8.9375,-1.5,2.625
109002077483,8.6875,2.25,2.125
109002091741,8.375,3.875,0.1875
109002114840,6.625,9.1875,-1.625
109002137375,10.75,14.625,-2.375
109002151776,5.8125,16.375,-5.0625
109002174874,-8.6875,14.4375,-2.6875
109002197405,-14.0625,11.0625,-0.1875
109002211715,-3.125,6.9375,2.375
109002234877,4,3.0625,1.5
109002257345,1.625,1.9375,-2
109002271765,-3.375,1.1875,-3.4375
