timestamp,x,y,z,w
109000433310,0.151001,0.24707,0.500183,0.81604
109000449837,0.150024,0.248169,0.5,0.815979
109000472365,0.148682,0.248535,0.499939,0.816101
109000486690,0.148132,0.248474,0.499817,0.816345
109000509758,0.147949,0.248535,0.499634,0.816467
109000532296,0.14801,0.248535,0.499634,0.816467
109000553432,0.148071,0.248779,0.499878,0.816223
109000569802,0.147888,0.249207,0.500244,0.815918
109000592365,0.147278,0.249634,0.500427,0.815796
109000613428,0.146179,0.249695,0.50061,0.815796
109000630382,0.144775,0.249817,0.500977,0.815796
109000652383,0.143311,0.249512,0.50116,0.81604
109000673480,0.14209,0.249329,0.501221,0.816284
109000689884,0.141052,0.249207,0.501343,0.816406
109000712360,0.140625,0.249207,0.501343,0.816528
109000733445,0.140076,0.249084,0.501221,0.816711
109000749820,0.140015,0.249084,0.501221,0.816711
109000772366,0.140442,0.249268,0.50116,0.81665
109000793549,0.14093,0.249573,0.501099,0.816467
109000809819,0.14093,0.249573,0.501099,0.816467
109000832322,0.140991,0.249512,0.501099,0.816467
109000853478,0.140991,0.249878,0.501648,0.81604
109000869746,0.140137,0.250305,0.502319,0.815674
109000892773,0.139404,0.250732,0.502319,0.815613
109000913462,0.139404,0.251038,0.501709,0.815918
109000929848,0.140076,0.251587,0.50116,0.815979
109000952345,0.140808,0.25238,0.501099,0.815674
109000974792,0.141418,0.253113,0.501099,0.815308
109000989799,0.141174,0.253418,0.501099,0.815308
109001012341,0.140259,0.253235,0.50116,0.81543
109001034793,0.139526,0.252991,0.501465,0.81543
109001049826,0.139282,0.252991,0.501709,0.815308
109001072314,0.139038,0.253174,0.501892,0.815186
109001094827,0.138672,0.253235,0.502075,0.815186
109001109172,0.138,0.253052,0.502075,0.815308
109001132308,0.13739,0.252625,0.502136,0.815552
109001154794,0.137207,0.252197,0.502136,0.815674
109001169128,0.137573,0.251892,0.501892,0.815857
109001192358,0.138489,0.25177,0.501648,0.815918
109001214862,0.139587,0.252197,0.501526,0.815674
109001229150,0.139893,0.252502,0.501709,0.815369
109001259852,0.139587,0.252441,0.501831,0.815369
109001274821,0.138855,0.252075,0.50177,0.815674
109001289169,0.138428,0.251709,0.501709,0.815857
109001312367,0.138123,0.251587,0.50177,0.815918
109001334844,0.138123,0.251526,0.50177,0.815979
109001349184,0.138611,0.251587,0.501709,0.815918
109001372324,0.138794,0.251953,0.501587,0.815857
109001394816,0.138489,0.251953,0.501587,0.815857
109001409179,0.138489,0.251953,0.501587,0.815857
109001432343,0.138489,0.251953,0.501587,0.815857
109001454871,0.138672,0.251709,0.501709,0.815857
109001475962,0.139099,0.251099,0.501709,0.815918
109001492374,0.139282,0.249878,0.501648,0.816345
