timestamp;emg1;emg2;emg3;emg4;emg5;emg6;emg7;emg8
1224336055;-1;-1;9;-4;0;-1;2;-4
1224336055;-4;-1;21;-2;-1;-1;-2;4
1224336876;0;-1;6;-6;-3;-1;-2;-3
1224336876;-6;-12;-17;-3;-1;0;0;2
1224338667;1;-2;11;0;-3;1;-3;-1
1224338667;-20;-8;-14;0;0;-3;-7;-18
1224340447;0;3;13;-3;-2;-2;-4;3
1224340447;-6;-3;13;-1;-5;1;6;-16
1224346007;-8;-1;-12;1;0;2;-5;6
1224346007;3;1;9;1;-4;-2;1;-1
1224363923;3;-1;-8;0;-1;-1;-3;-6
1224363923;3;3;-8;1;0;-2;-4;4
1224367496;-3;1;-1;-2;-1;-1;2;-5
1224367496;5;4;-13;-1;-1;0;3;6
1224378891;-6;-9;-3;-3;0;0;3;16
1224378891;16;9;46;4;-2;2;-9;4
1224382461;-2;-1;-26;0;0;-7;2;11
1224382461;1;0;-7;-3;-2;1;0;-1
1224405995;2;-5;17;-1;-3;-3;6;0
1224405995;4;2;-22;-2;3;1;-4;6
1224444336;8;1;13;-2;-1;-2;0;-2
1224444336;3;2;1;-1;-3;2;2;-3
1224445053;-1;-1;0;-1;3;-2;-2;-34
1224445053;0;5;28;0;2;0;-7;-10
1224445901;-3;-2;-12;-4;-2;-6;7;6
1224445901;8;-4;-5;-10;-10;-3;-11;-40
1224446707;1;2;-14;2;0;5;1;20
1224446707;5;-7;-24;-5;-6;-6;-1;12
1224457989;-8;1;8;0;-4;-8;-20;2
1224457989;-1;7;-3;3;3;2;3;1
1224464647;2;-3;-2;-5;-4;0;-1;9
1224464647;-2;4;22;7;0;1;0;-4
1224472174;-1;-7;-8;-10;-3;5;-2;6
1224472174;-2;-1;-19;0;-1;-5;4;-1
1224487158;-1;-4;-6;0;0;-2;-2;13
1224487158;2;2;10;1;2;1;-2;-1
1224495327;-3;0;-6;5;2;2;3;-21
1224495327;-11;-6;33;-5;-4;-3;-6;13
1224509813;1;-1;1;1;-3;-3;3;3
1224509813;-1;-6;-29;-9;-4;0;2;2
1224518007;2;4;18;7;-1;-3;-2;-7
1224518007;12;-4;1;-5;5;5;-1;5
1224533672;10;2;1;-1;0;-4;-1;11
1224533672;-1;0;-1;4;-2;3;1;3
1224534357;7;-3;-12;-9;-6;-4;-9;-1
1224534357;-4;-3;-25;3;4;2;-1;-22
1224563534;-5;-3;68;0;-1;2;1;4
1224563534;-9;-3;-33;-1;0;0;4;-31
1224564389;5;1;5;1;1;2;8;6
1224564389;-4;2;-19;5;-3;-3;-1;-9
1224569656;-3;-7;-16;-9;-6;-4;-6;-11
1224569656;-2;-2;-8;1;1;0;-5;-2
1224577876;-8;-7;-31;0;-1;0;5;16
1224577876;-4;2;14;2;3;-2;-1;-7
1224593445;-4;5;16;5;2;-1;-1;15
1224593445;-1;-5;1;-5;-3;-1;1;4
1224594267;0;-1;6;1;-1;-4;-1;-3
1224594267;6;3;-2;2;0;3;0;13
1224616792;4;2;-7;2;-2;2;0;-11
1224616792;-9;-1;11;-5;-2;-5;5;7
1224617622;1;4;-14;5;3;3;-2;2
1224617622;-10;-2;-6;0;-3;-2;0;13
1224629643;-4;2;38;2;-4;-3;-3;-6
1224629643;-1;-4;-1;-1;-2;0;-2;8
1224637965;2;4;21;1;-4;0;0;-9
1224637965;-4;0;22;1;0;-2;-1;6
1224653549;-1;0;-25;-5;-1;1;1;-5
1224653549;4;7;9;3;5;5;1;-2
1224654332;-4;-12;-7;-2;-3;-2;-1;0
1224654332;3;2;-4;-3;0;2;3;4
1224676029;-1;-2;-2;1;-2;-4;-5;6
1224676029;-7;0;-21;-5;1;-3;-2;2
1224676845;-3;3;27;2;-1;-1;-1;-11
1224676845;0;-4;-18;-2;-6;-2;-1;4
1224698613;-2;-7;-15;-1;2;1;0;-10
1224698613;-1;-3;9;0;0;0;-2;-1
1224700269;1;3;5;-2;-2;0;2;-2
1224700269;-2;-2;-16;0;-2;-1;-3;-19
1224712167;-4;0;17;-3;-5;-4;-2;0
1224712167;0;-1;8;2;1;-1;-2;-17
1224721122;-4;-1;-17;-1;5;0;-3;0
1224721122;-4;-2;40;-1;-6;-3;1;7
1224735976;4;3;-25;1;-1;0;1;-7
1224735976;4;-1;13;-1;-4;-4;-3;7
1224737550;4;-2;-9;-2;-1;1;1;21
1224737550;-5;-2;-20;-2;0;0;-1;9
1224758672;-7;0;3;-1;2;3;-2;-25
1224758672;2;1;19;2;-4;-3;0;7
1224760208;-3;-7;-12;-6;-4;-1;-2;-7
1224760208;3;1;10;2;0;1;0;5
1224772350;-4;-7;-34;-1;0;-2;1;3
1224772350;3;5;15;1;2;1;1;12
1224781171;-1;0;-5;1;-2;1;1;-7
1224781171;0;0;8;-2;-2;-3;-3;-10
1224796641;6;-5;-35;-2;0;0;0;1
1224796641;1;0;0;-2;-1;-1;2;18
1224798256;-1;-2;10;1;-1;0;-2;9
1224798256;-3;-5;-10;-5;-1;-1;1;5
1224809837;3;10;9;2;1;1;0;19
1224809837;1;-5;-7;-3;-4;-2;-5;-10
1224818711;-1;4;0;1;0;2;-1;-7
1224818711;5;-3;-17;-1;1;0;1;6
1224832322;-5;0;15;-4;-4;-1;1;-6
1224832322;1;1;-2;2;-1;-5;-2;-4
1224841210;-2;-2;-8;0;2;-1;0;-1
1224841210;-1;1;12;-1;0;0;-1;-9
1224856286;1;0;-5;0;-1;0;1;4
1224856286;0;-4;-27;-2;-2;-1;-1;-6
1224857673;-1;4;-1;-3;-4;0;-1;-2
1224857673;1;1;22;0;-4;-2;-3;-7
1224878606;1;0;-7;1;5;-1;-1;14
1224878606;-3;-2;-8;1;1;-2;-1;-5
1224880212;-1;0;13;-2;-4;-1;-4;-5
1224880212;-3;-1;-16;-2;0;1;1;14
1224892433;-1;-2;13;-1;-4;0;1;-6
1224892433;-6;-3;-12;2;-4;-2;-6;-4
1224901254;-1;3;-4;-1;-2;-4;0;0
1224901254;-2;-6;14;-2;0;-2;1;-1
1224916045;-3;-3;-4;0;-2;-3;1;3
1224916045;2;5;-3;-3;-1;0;-4;-21
1224917700;-4;-7;-2;-3;-1;0;-2;-8
1224917700;3;2;-6;2;4;1;0;6
1224938656;14;-6;-11;-5;1;-1;-2;6
1224938656;-6;-7;2;-1;0;5;3;12
1224940197;-3;2;11;0;-3;-10;-2;-9
1224940197;5;-1;-2;-1;2;0;-3;11
1224952243;-3;-4;3;0;2;-1;-1;6
1224952243;0;2;-11;1;1;4;1;-9
1224961169;3;-1;-2;-2;-1;0;1;3
1224961169;-5;5;-2;2;-1;-1;0;0
1224976204;-3;6;4;4;0;-3;-1;-12
1224976204;1;-6;-1;-7;0;0;0;8
1224977762;-5;-4;2;1;-2;0;0;2
1224977762;-2;-2;-8;-1;-3;-1;-1;-7
1224998729;-5;4;8;2;-2;2;1;14
1224998729;1;1;-11;-2;0;-4;-2;-8
1225000223;4;-2;5;1;0;1;1;6
1225000223;0;3;-1;-1;1;0;2;-2
1225012243;-5;-4;-7;-3;-1;-1;-1;-4
1225012243;-1;-4;7;-2;-4;-3;-3;2
1225021228;-1;-3;1;1;1;1;0;2
1225021228;0;-2;-7;-2;-3;-3;-3;2
1225036190;0;2;-13;-1;0;-1;-3;-10
1225036190;-8;2;20;0;-2;0;3;8
1225037693;1;0;-17;0;1;1;0;1
1225037693;-1;-1;9;2;-1;-1;-5;-5
1225058543;1;-6;-6;-4;-3;0;-2;-8
1225058543;0;-6;-10;-2;-2;-2;-2;0
1225060235;-3;-2;9;3;-1;1;1;4
1225060235;-3;-5;-12;-3;0;2;1;2
1225072248;-3;-3;5;-1;0;1;0;-7
1225072248;3;1;0;1;-3;-5;-6;-2
1225081270;0;1;3;1;3;0;1;3
