timestamp,x,y,z
1224172931,3.4375,-7.6875,2.1875
1224187404,1.375,-8,3.375
1224202417,0.5625,-8,3.6875
1224226194,2.75,-6.9375,3.125
1224241028,3.75,-7.3125,3.125
1224262385,4.25,-8.4375,2.9375
1224285541,2.375,-8.6875,3
1224333245,1.75,-9.25,3.25
1224335341,3.6875,-8.6875,3.4375
1224339498,5.4375,-8.75,3.25
1224361901,5.5,-10.75,3.625
1224376896,5.125,-12,3.4375
1224397466,1.5,-10.4375,2.4375
1224436083,2.8125,-10.625,3.3125
1224436892,4.8125,-13.5625,4.375
1224458735,2.3125,-12.375,3.5625
1224479726,1.6875,-9,3
1224496151,2.25,-6.6875,3.625
1224518704,3,-5.8125,3.125
1224535152,2.125,-5.75,3.4375
1224565239,3.0625,-5.5,2.1875
1224578624,1.875,-4.1875,0.5
1224595084,2.1875,-4.8125,0.5625
1224618412,1.8125,-6.4375,1.0625
1224638707,0.0625,-8.75,-0.625
1224655232,0.1875,-8.625,0.5625
1224677634,2.9375,-7.25,1.1875
1224699405,2.5625,-5.75,1.1875
1224720342,2.4375,-3.375,0.375
1224736901,2.625,-1.625,-0.5
1224759507,1.25,-3.3125,0.3125
1224780624,-0.75,-4.1875,0
1224797340,-2.875,-4.625,0.4375
1224818051,-3.8125,-3.625,1.4375
1224840575,-4.1875,-1.8125,0.6875
1224856996,-3,-0.875,-0.4375
1224879351,0.5,-3.875,-0.5625
1224900521,2.6875,-6.3125,0.5
1224916938,1.75,-4,0.0625
1224939506,-1.5625,0.75,-0.125
1224960548,0.125,2.5,-0.625
1224976931,1.25,1,-0.75
1224999441,-0.5625,-1.125,0.625
1225020542,-1.5625,-2,1.5
1225036981,-1.8125,-0.875,1.4375
1225059544,1.375,-0.125,1.6875
1225080532,1.75,-0.4375,1.875
1225097035,1.75,-0.8125,2.5
1225119986,1.5625,-1.75,2.5
1225134514,1.375,-2.75,0.1875
1225156862,-0.0625,-1.8125,0.625
1225179362,0.625,-1.3125,1.6875
1225193680,-0.3125,-1.6875,1.1875
1225216928,-1,-1.375,1.375
1225239482,-1.25,-0.875,1.9375
1225253742,-1.5,-1.0625,1.5
1225276911,-1.1875,-0.375,1.3125
1225299367,-1,1.125,2.0625
1225313668,0.5625,0.75,1.1875
1225336880,1.6875,1,0.25
1225366850,-0.375,0.5,0.1875
1225380401,-0.375,0.9375,0.5625
1225396883,-0.125,0.5,0.5625
1225419357,0.6875,-0.25,-0.125
1225442048,-1.3125,-1.5,-0.875
1225464493,-2,-1.5,-1
1225478709,-1.5625,-1.6875,-0.0625
1225501968,-0.625,-1.25,0.25
1225524424,-1.5625,-0.5625,-0.75
1225538802,-2.75,-0.4375,-0.625
1225561897,-3,-1.5,-0.6875
1225591897,-3.25,-1.75,-0.25
1225598733,-3.875,-2.25,-0.4375
1225621892,-4.25,-1.4375,0
1225644456,-3.5625,-1.875,-0.0625
1225658905,-3.6875,-2.5625,0.0625
1225681994,-4.25,-3.0625,-0.4375
1225721257,-3.375,-2.4375,-0.875
1225725564,-2.625,-1.875,-0.875
1225749436,-1.375,-1.25,-0.625
1225764454,-2.1875,-1.5,0.0625
1225785482,-2.875,-1,-1.125
1225807969,-1.3125,-1.125,-0.4375
1225824382,-1.3125,-1.625,-0.375
1225845467,-2.375,-1.9375,-0.125
1225861967,-2.75,-2.125,-0.625
1225884473,-2.6875,-2,-0.625
1225905562,-2,-1.75,-1.375
1225929545,-1.0625,-1.25,-1.375
1225944444,-1.9375,-1.3125,-0.5625
1225965604,-1.4375,-1.125,-0.6875
1225982033,-2.3125,-0.4375,-1
1226004477,-2.8125,-1.0625,-0.8125
1226025702,-2.375,-1.4375,-0.5
1226042049,-3.125,-1.6875,-0.5625
1226064571,-3.5,-3,-0.9375
1226085614,-2.5625,-2.375,-1.0625
1226101933,-2.25,-1.75,0.3125
1226124398,-2.625,-2.125,0.3125
1226146252,-2.9375,-2.5,0.6875
1226161887,-2.5,-1.625,1.375
1226184526,-1.4375,-1.5625,0.875
1226205480,-1.125,-2.375,0.8125
1226221686,0.4375,-1.875,-0.3125
1226245035,-0.6875,-1.1875,-0.25
1226267001,0.1875,-1.1875,0.0625
1226282052,-0.375,-2.0625,0.3125
1226304386,0.6875,-0.9375,0.8125
1226334469,0,-0.9375,1.125
1226341967,-1.25,-0.8125,1.3125
1226364488,-0.5625,-1.125,0.875
1226386913,-0.1875,-0.6875,0.375
1226401368,-0.375,-1.5,0.75
1226424479,0.0625,-0.4375,1
1226446980,-0.375,0.125,0.75
1226461351,-0.6875,-0.3125,0.8125
1226484591,-0.25,-0.625,0.6875
1226506928,-0.25,-0.0625,0.75
1226521444,-1.375,-0.6875,1
1226544428,-1.75,-0.25,1
1226566932,-1.9375,-0.1875,0.875
1226581323,-0.375,-0.25,0.75
1226604525,0.375,-0.9375,0.625
1226627403,0.5625,-0.5625,0.1875
1226641337,-0.875,-0.125,0.3125
1226664454,0.5,0.3125,0.125
1226687025,1.25,0.25,0.5625
1226701245,2.1875,0.6875,0.8125
1226731982,1.75,-0.0625,0.875
1226746959,3,0.3125,1.125
1226768040,2.6875,0.25,1
1226784545,3.0625,1.375,1.5625
1226807060,4.125,1,2.125
1226828151,3.125,0.8125,1.5
1226844547,3.3125,0.6875,1.0625
1226867007,4.125,0.9375,0.875
1226888094,3.25,1.6875,0.875
1226904539,1.3125,1.125,0.875
1226926928,0.3125,1.0625,0.125
1226948145,1.8125,0.75,-0.3125
1226964491,2.0625,0.5625,-0.875
1226986958,1.625,1.375,-0.25
1227008104,2.3125,1,0.375
1227024533,2.1875,1.25,0.3125
1227047119,2.25,1.4375,0
1227068214,1.9375,1.125,0.0625
1227084524,1.125,0.9375,-0.0625
1227107075,1.1875,1.125,-0.125
1227128216,0.25,1.9375,0.5625
1227152103,1.8125,1.4375,0.5625
1227167431,2.1875,1.125,0.5
1227189609,2.625,2.3125,0.6875
1227204439,3.125,1.4375,0
1227226975,3.625,1.125,-0.125
1227249550,2.4375,0.375,-0.8125
1227264593,2.875,0.625,-0.0625
1227294490,1.5625,-0.5625,0.5
1227309497,0.75,-0.375,0.25
1227323820,0.75,-1,0.875
1227347055,0.9375,-0.5,0.8125
1227369500,1.875,-0.375,0.5625
1227383959,3.125,0.5,-0.4375
1227406948,5.5,1.375,0
1227429626,7,2.3125,0.3125
1227443887,6.25,0.75,0.5625
1227467119,6.375,0.75,0.25
1227489642,6.25,1.25,0.25
1227503946,4.3125,0.4375,-0.625
1227527160,4.3125,1.875,-0.375
1227549615,4.75,3.625,0
1227572148,2.0625,3.125,0.75
1227587055,0,1.1875,0.625
1227609642,-1.25,0.6875,-0.8125
1227624035,-0.3125,1.6875,-1.125
1227647082,1.75,2,-0.1875
1227669555,1.6875,0.375,0.3125
1227690700,0.875,-1.0625,0.3125
1227707115,-0.25,-1.4375,1.25
1227729470,-0.25,-1.8125,2.375
1227752627,-0.0625,-2.5625,2.3125
1227766990,0.3125,-2.4375,1.125
1227789487,0.0625,-1.25,-0.25
1227810777,1,-0.9375,0.1875
1227827144,3.75,-0.125,-0.25
1227849499,3.5,1.5625,-0.9375
1227870703,2.0625,2.375,-0.875
1227886769,1.8125,3.0625,-0.6875
1227909652,1.5,2.875,-1.375
1227931969,0.3125,1.5,-0.125
1227946976,-0.75,-0.8125,1
1227952535,-0.6875,-1.5,0.8125
1227975046,0.4375,-1.875,-0.0625
1227997498,0.8125,-2.8125,-0.6875
1228012488,0.0625,-1.75,-0.875
1228035082,-0.875,-1.75,-1.1875
1228057559,-1.5625,-1.1875,-2.0625
1228075357,-3,-0.6875,-2.375
1228094912,-3.0625,-0.8125,-1.4375
1228117519,-2.875,-0.875,-1.375
1228132535,-3,-0.625,-1.75
1228155046,-0.75,-0.3125,-0.875
1228177499,-0.8125,-0.375,-1.3125
1228192524,0.875,0.125,-1.8125
1228215096,1.375,-0.125,-1.1875
1228237462,1.5625,0.5625,-0.6875
1228252501,2.125,0.0625,-0.8125
1228274914,1.5625,-0.4375,-0.75
1228297383,0.875,-0.375,-1
1228312530,1,-0.3125,-0.8125
1228335044,0.3125,0.5,-0.75
1228357498,-0.3125,1.0625,-0.625
1228372490,-0.9375,-0.5,-0.5625
1228394958,-1.6875,-1.75,-0.3125
1228418203,-1.875,-0.0625,-1.375
1228432601,0.1875,0.5625,-1.5625
1228454954,0.375,0.8125,-1.3125
1228477361,0.6875,1.125,-1.0625
1228492516,-0.1875,0.75,-1.5
1228514930,0.375,-0.1875,-1.0625
1228537480,0,-1.0625,0.0625
1228553890,0.3125,-0.625,0.4375
1228575017,0.5,-1.5,0.625
1228597546,-1.1875,-1.9375,-0.25
1228612552,-1.0625,-1.6875,-0.6875
1228635017,-0.875,-0.6875,-0.3125
1228657400,0.75,-0.3125,-1.125
1228679946,2.75,0.1875,-1.1875
1228695065,3.0625,0.5625,-0.0625
1228717446,1.375,1.125,0.625
1228733895,1.375,-0.8125,0.125
1228754885,1.375,-1.25,0.3125
1228777538,2.5,-1.3125,0.375
1228793855,1.8125,-0.6875,0.25
1228814935,0.1875,-0.1875,-0.5
1228837378,0.1875,-1.1875,-0.4375
1228861335,0.4375,-0.9375,-0.0625
1228874868,1.0625,0.5,-0.0625
1228897466,-1.1875,0.9375,0.1875
1228913860,-1.125,1.4375,0.375
1228935056,-0.9375,1.1875,0.625
1228957454,-2.1875,0.3125,0.9375
1228975330,-1.9375,-0.9375,1.0625
1228994911,-1.875,-1.8125,0.8125
1229017409,-1.6875,-2.1875,-0.5
1229041284,-1.125,-2.625,-0.875
1229054854,-0.25,-1.3125,-1.25
1229077553,2.1875,0,-0.75
1229095330,2.125,0.4375,-0.875
1229114957,2.3125,0.9375,-0.8125
1229137399,1.75,1.1875,-0.375
1229155529,0.9375,1.6875,0.25
1229174863,0.9375,1.3125,0.3125
1229197507,2,0.5625,0.375
1229215349,0.875,0.5,-0.0625
1229235040,1.4375,1.4375,-0.375
1229257424,1,2.125,-0.5
1229282902,2.9375,1.625,-0.0625
1229294938,3.1875,1.625,0.8125
1229317402,0,2.75,0.625
1229335286,-0.75,2.625,0.125
1229354901,-0.5625,1.6875,0.625
1229377469,-0.625,1.125,1
1229395345,-0.6875,0.3125,1.125
1229414921,-1.25,-1,1.375
1229437528,-1.25,-0.8125,1
1229455418,0.1875,0.0625,0.375
1229476406,1.125,0.4375,0.75
1229497473,1,0.3125,0.6875
1229515382,0.75,0.625,-0.125
1229535074,1.375,0.5,0.125
1229560332,1.625,0.5,0.5625
1229575541,1.4375,-0.375,1
1229594973,0.8125,-0.5,1.4375
1229617481,1.5,0.1875,0.875
1229635477,0.625,0.4375,0.875
1229656399,-0.5625,0.375,1.25
1229677506,0.4375,0.25,1.3125
1229695381,2.1875,-1.6875,1.8125
1229716430,3.1875,-1.875,1
1229737455,4.0625,-0.0625,1
1229755367,3,0.4375,1.25
1229777125,0.375,0.9375,1.125
1229797518,-0.3125,0.5,2.9375
1229822913,1.375,0.5625,3.1875
1229836552,1.8125,1,1.75
1229865070,1.6875,0.6875,1.8125
1229875391,2,0.3125,1.75
1229896551,1.9375,0,1.6875
1229917566,1.375,-0.125,1.1875
1229935493,0.5,1.125,0.1875
1229956597,-0.3125,1.5625,0.5
1229977537,-1.0625,0.875,0.375
1229995507,-2.875,0,0.875
1230018055,-3.4375,0.25,0.6875
1230037615,-2.75,0.6875,0.5
1230070502,-0.25,1.1875,0.125
1230077935,1,1.5,0.375
1230097442,1,1.875,0.625
1230115539,0.6875,2.6875,0.5625
1230137874,0,2.75,0.5625
1230157587,0.375,2.4375,1.0625
1230175354,0.1875,1.375,1.5
1230198058,-0.9375,1.125,1.4375
1230217585,-2.375,-0.1875,1
1230234631,-2.0625,-0.75,1.3125
1230257237,-0.9375,-1.125,1.8125
1230278191,-0.625,-1.375,1.5
1230294614,0.4375,-1.4375,1.8125
1230317114,1.0625,-0.5,2.5625
1230338161,1.4375,0.125,2
1230354623,1.875,0.625,0.875
1230377052,2.625,0.4375,1
1230398163,2.25,0.875,1.5
1230414692,1.875,1.5,1.6875
1230437193,0.9375,1.0625,1.5
1230458306,-0.9375,0.25,1.125
1230474581,-2.5,-0.25,0.4375
1230497063,-1.375,0,0.3125
1230511398,-1.5625,0.125,0.25
1230534567,-1.875,0.375,-0.4375
1230557111,-2.1875,-0.25,-0.75
1230578173,-1.625,0,-1.0625
1230594753,-0.6875,0,-1
1230617233,-1.5625,-0.25,-0.375
1230638346,-2.375,0.0625,-0.1875
1230654711,-1.4375,0.3125,0.25
1230677047,-0.75,0.4375,0.25
1230698264,0.0625,0.4375,0.6875
1230714638,0.25,0.25,0.9375
1230737196,1.5625,-0.25,0.8125
1230758269,1,-1.125,0.75
1230774630,0.8125,-0.9375,0.3125
1230797241,0.375,-0.6875,0.375
1230818331,0.6875,-0.25,0.6875
1230834752,0.125,-0.1875,1.3125
1230857224,-0.875,-0.5,1.125
1230878352,-1.1875,-1,1
1230902136,-1.75,-0.6875,0.5
1230917084,-1.9375,-0.3125,0.3125
1230938021,-1.6875,0.1875,0.6875
1230954600,-1.375,0.8125,0.25
1230977293,-1,0.875,-0.0625
1230999756,-0.1875,0.4375,-0.0625
1231013905,0.4375,0.0625,0.375
1231037258,-0.375,-0.375,0.375
1231059672,0,-0.3125,-0.1875
1231082223,0.0625,0.0625,-0.25
1231097132,0.375,0.1875,0.4375
1231119702,0,0.1875,0.5625
1231134028,0.5,0.5625,0.5
1231157164,0.9375,-0.125,0.5
1231179563,0.5,0.0625,0.1875
1231193976,0.5,0.1875,-0.3125
1231224600,1,0.375,-0.625
1231247084,1.125,0.625,-0.5
1231254103,0.125,0.25,0.375
1231277087,-1.3125,0.5625,0.375
1231299597,-1.0625,0.5625,0
1231313969,-0.125,-0.3125,-1
1231337245,0.8125,-0.3125,-1.3125
1231359581,1.9375,-0.4375,-0.75
1231373975,2.1875,-0.625,-0.6875
1231397292,3,0.5625,-1.25
1231419779,1.8125,1.125,-1.625
1231433906,0.1875,1.625,-1.5625
1231457050,-3.625,2.3125,-1.9375
1231479693,-6.375,3.75,-2.75
1231502247,-6.5625,6.0625,-4
1231517129,-6.375,9.5,-4.9375
1231539663,-6.9375,11.125,-4.25
1231560718,-6.9375,11.0625,-2.6875
1231577118,-8.375,9.625,-4.4375
1231599762,-8.25,5.875,-4.6875
1231620845,-10.625,6.3125,-4.8125
1231637166,-9,4.75,-2.4375
1231659751,-3.8125,4.25,-1.1875
1231680842,1.4375,5.3125,-2.25
1231697154,5.375,5.5,-1.4375
1231719781,7.3125,2.5625,-2.5625
1231740724,6.6875,0.0625,-2.875
1231757247,3.6875,2.1875,-4.1875
1231779666,7.9375,5.4375,-5.0625
1231800806,16.375,4.4375,-4.9375
1231817189,28.5,2.625,-2.9375
1231839683,37.875,-0.75,-0.9375
1231860828,40.875,-6.125,-0.25
1231876473,37.875,-9.4375,-2.25
1231899614,36,-9,-4.75
1231922124,33.3125,-7.125,-4.5625
1231936625,32.625,-10.0625,-3.5625
1231959614,31.375,-10.9375,1.3125
1231982151,25.6875,-9.1875,4.75
1231996465,19.875,-7.6875,7.8125
1232019738,16.125,-10.1875,9.625
1232042119,11.9375,-16.3125,13.625
1232056898,3.375,-24.375,16.4375
1232079619,-1.9375,-26.625,16.125
1232102182,-2.4375,-28.375,17.375
1232116433,5.125,-31.8125,16.5
1232139786,2.6875,-33.125,16
1232162213,-2.375,-27.625,15.125
1232190848,-7.6875,-22.6875,15.6875
1232199820,-4.75,-20.3125,15.0625
1232222293,-1.25,-16.9375,14.3125
1232243274,-2.4375,-12.0625,13.375
1232259695,-0.25,-7.5625,13.3125
1232282177,-2.9375,0.75,14.3125
1232303229,-2.625,8.8125,13.625
1232319850,-0.375,13.875,13.5
1232342318,3.375,15.875,13.375
1232363316,3.9375,16.1875,13.1875
1232379730,3.9375,14.25,11.875
1232402168,8.8125,15.125,7.8125
1232423351,13.75,19.75,4.9375
1232439645,12.25,23.4375,0.0625
1232462346,13.0625,26.0625,-5.4375
1232483400,11.3125,26.0625,-11.8125
1232499848,10.9375,25.875,-12.3125
1232522260,14.5625,26.6875,-12.4375
1232543236,17.9375,23.75,-11.5
1232565839,16.4375,20.6875,-7.9375
1232582180,15.25,19.0625,-7.75
1232603308,14.25,18,-6.3125
1232619799,11.875,14.4375,-3.6875
1232642302,9.25,11.8125,-0.625
1232663371,5.8125,10.6875,-0.375
1232679766,6.5625,8.75,-0.25
1232702248,4.375,8.1875,1.25
1232723294,4.75,8.5,-0.25
1232739693,6.3125,6,-2.8125
1232762236,6.375,3.0625,-5.1875
1232783250,1.9375,-2.6875,-7.5
1232799675,-0.125,-5.4375,-9.3125
1232822278,3.5,-5.875,-6.625
1232843426,5.625,-1.625,-2
1232859852,3.8125,2.9375,3.3125
1232889707,1.3125,6.625,7.5
1232904734,2.3125,8.3125,7.6875
1232919708,7.9375,8.5625,6.4375
1232942193,6.5625,7.75,6.0625
1232964816,4.5625,5.875,4.5625
1232979860,6.0625,5.5,3.6875
1233002225,7.625,3.6875,0.875
1233024784,6.125,3.6875,-1
1233039161,5.1875,5.6875,-2
1233062160,5.6875,6.6875,-3.25
1233084684,3.3125,7.375,-3.4375
1233099099,0.8125,4.5625,-3.9375
1233122280,1.125,1.8125,-5.5625
1233144730,0.9375,0.625,-14.25
1233159151,-4.75,-0.375,-17.8125
1233182207,-2.3125,-1.25,-18.0625
1233204649,2.9375,-0.875,-14.4375
1233219015,5.125,6.375,-12.0625
1233242340,8.6875,12,-15.25
1233264755,5.8125,11.9375,-18.9375
1233285725,-3.4375,14.125,-16.625
1233302352,-11.6875,11.5625,-15.25
1233324695,-8.0625,11.5625,-15.25
1233345752,-2.0625,9.5625,-11.6875
1233362306,-4.4375,5.5,-6.5
1233384881,-11.5625,0.375,-4.375
1233405793,-5.5625,-2.9375,-2.8125
1233422219,-1,-5.375,0.1875
1233444847,-1.25,-6.875,1.875
1233465947,-3.125,-6.75,3.375
1233482301,-6.5,-11.875,5.8125
1233504698,-10.8125,-14.0625,6.5
1233525892,-15.75,-14.5,8.3125
1233542240,-18.0625,-13.0625,8.3125
1233564749,-17.4375,-11.125,7.5
1233585807,-15.1875,-9.0625,7.0625
1233602223,-12.625,-7.25,7.5625
1233624731,-9.9375,-4.375,4.625
1233645889,-19.5,3.625,-0.6875
1233662271,-21.3125,10.1875,-7.875
1233684865,-21.8125,12.5,-13.1875
1233705818,-17.75,9,-14.3125
1233722078,-9.75,6.5625,-11.6875
1233744791,-9.4375,7.4375,-8.625
1233765911,-2.0625,7.3125,-8.1875
1233781514,4.6875,5.375,-8.4375
1233804751,26.5,1.1875,-4.5625
1233827242,32.0625,-8.5,-6.375
1233848213,44.5,-12.3125,-9.25
1233864859,51,-17.875,-6.8125
1233887278,44,-25.125,-2.625
1233901515,10.6875,-28.9375,-5.3125
1233924848,-5.375,-20.375,-5.75
1233947262,-1.125,-8.6875,-5.9375
1233961750,-0.0625,-1.375,-4.8125
1233984710,0.3125,0.9375,-0.0625
1234007207,-1.25,-3.375,4.1875
1234021614,-0.625,-8.875,6
1234044717,-5.375,-12.0625,8.625
1234067964,-9.3125,-9.125,11
1234081707,-0.9375,-9.25,9.75
1234104708,-2.3125,-9.625,8.25
1234127275,-11.6875,-6.125,7.8125
1234141547,-16.4375,-4.75,4.25
1234164685,-10.875,0.8125,2.3125
1234187233,-10.1875,2.6875,4.5
1234201530,-13.375,8,1
1234224746,-15.5,15.0625,-2.625
1234247233,-19.375,13.4375,-3.125
1234268267,-17,6.75,-1.5625
1234284720,-8.5625,4,-2.5
1234307230,-3.125,3.875,-3.3125
1234328274,-3.8125,5.6875,-4.4375
1234344770,-8.5,5.75,-5.875
1234367227,-11,4.1875,-3.875
1234388268,-8.875,2.9375,-1.6875
1234404899,-6,1.375,-0.9375
1234427254,-2.6875,0.8125,-3.0625
1234448283,-4.125,0.75,-4.5625
1234455271,-6,1.625,-4.875
1234470142,-7.75,1.3125,-4.125
1234492605,-3.375,0.375,-3.8125
1234515164,-2.125,-0.0625,-3.5625
1234530124,-2.8125,2.3125,-3.75
1234554180,-5,1.125,-5.8125
1234575148,-6.375,2.25,-3.5625
1234590206,-3.375,0.8125,-2.125
1234612651,-7.0625,-3.3125,-5.6875
1234635239,-8.5625,-2.5,-10.0625
1234650083,-15.75,-0.75,-10.625
1234672616,-16.25,-2.3125,-6.875
1234695290,-6.8125,-7.625,-1.8125
1234710203,3.375,-9.375,-0.875
1234735598,-0.5625,-6.75,-3.25
1234755201,-4.5625,-3.6875,-5.25
1234770191,-6.125,-2.25,-6.0625
1234792756,-4.9375,-0.4375,-5.25
1234815335,-4.875,0.0625,-4.9375
1234831766,-3.5,-1,-4.8125
1234852739,-1.375,-1.375,-3.875
1234875296,-0.25,-0.8125,-3
1234890202,1.5625,0.3125,-2.8125
1234912814,1.1875,1.5625,-2
1234935317,1.4375,-0.0625,-1
1234950318,-0.375,0.375,-1
1234972792,-5.8125,1.375,-1.75
1234995314,-4.8125,2.3125,-2.3125
1235010313,-1.75,2.25,-1.6875
1235032718,-1.5,1.9375,-1.1875
1235055181,-2.375,1.1875,-0.8125
1235070216,-0.25,1.25,-0.375
1235092716,2.375,1.25,-0.0625
1235115358,0.875,0.25,0.125
1235130269,-1.625,0.4375,0.375
1235152757,-1.9375,0.5625,-0.4375
1235175318,-0.5625,0.1875,-1.1875
1235190285,-0.4375,0.5,-1.3125
1235212860,-1.625,0.625,-1.6875
1235235292,-0.875,0.0625,-0.75
1235251772,0.625,0.25,-0.125
1235272691,1.5,0.3125,-0.3125
1235295275,-0.5,0.625,-0.625
1235310316,-2.3125,0.5625,-0.4375
1235332824,-1.375,-0.0625,-0.5
1235355198,0.1875,0.625,-0.625
1235371660,1.9375,1.125,-0.1875
1235392847,0.125,0.875,-0.1875
1235415269,-2.1875,1.125,-1
1235431803,-1,0.8125,-0.5625
1235452826,1.1875,0.6875,-0.0625
1235475147,1.375,0.125,-0.5625
1235491667,0.75,-0.5625,-1.125
1235512796,0.875,-0.6875,-1.375
1235535264,1.8125,-0.625,-0.6875
1235551763,2.9375,-1,-0.1875
1235572644,3.5625,-1.5,0.25
1235595315,-0.1875,0.0625,-0.375
1235611749,-0.5625,-0.875,-0.4375
1235632880,-4,-1.875,-0.4375
1235655372,-4.25,-3.6875,0.6875
1235671792,-2.5625,-6.5,2.375
1235692870,-2,-7.25,3
1235715357,-0.125,-7.625,5.25
1235733184,-0.5,-7.4375,6.1875
1235755621,-0.8125,-8.4375,6.0625
1235775270,-0.9375,-9.8125,8.125
1235793318,-0.9375,-9.8125,12.0625
1235812868,-4.8125,-11.5625,13.1875
1235835386,-3.0625,-10.75,14.25
1235853288,-3.1875,-9,14.75
1235872805,-2.9375,-8.4375,14.6875
1235895330,-3.5,-7.3125,14.75
1235913316,-2,-4.625,15
1235932769,-1.375,-2.5,13.9375
1235955341,2.6875,-0.8125,13.0625
1235973195,2.875,-3.3125,11.8125
1235992791,2.6875,-1.875,10.3125
1236015310,0.8125,-1.25,9
1236033268,-0.875,-1,7.5
1236052878,1,-2.3125,8.5625
1236070791,2.375,-3.125,7.0625
1236093149,4.75,-3.625,5.4375
1236112782,3.3125,-2.8125,4.875
1236130644,0.6875,-1.75,3.75
1236153256,-2.0625,-1.0625,3.8125
1236172799,0.25,-2.4375,3.375
1236195388,3,-2.4375,1.9375
1236220669,2.8125,-2.0625,0.5625
1236232876,0.5,-1.5,0.3125
1236250800,-1.4375,-0.625,0.3125
1236273280,0.5,-0.5625,0.75
1236300259,1.5625,-1.5,1.4375
1236310877,3.6875,-1.5,0.75
1236333125,1.1875,-1.0625,0.8125
