timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1441193758101689,-7,-4,0,-6,-3,0,-1,-8
1441193758101689,-4,2,-2,-2,1,-3,1,-2
1441193758102685,4,-3,-3,0,-1,-3,0,5
1441193758102685,1,0,-1,0,-3,-2,0,0
1441193758108687,-2,0,0,2,0,-2,-4,-5
1441193758108687,-1,-1,-3,-3,0,-5,-1,-1
1441193758108687,1,0,-2,0,-2,0,3,1
1441193758108687,1,-1,1,-11,0,-2,-1,-2
1441193758110733,-5,-2,-2,2,-4,0,-2,-4
1441193758110733,-4,-1,3,0,-1,0,-2,-4
1441193758115686,3,0,3,1,-3,-3,-2,6
1441193758115686,2,0,-4,-1,-2,2,-1,2
1441193758128903,-4,1,2,-3,0,-2,-2,-6
1441193758128903,-2,-1,-4,0,1,-2,-1,-3
1441193758137695,0,0,-1,-2,3,-2,3,4
1441193758137695,0,1,2,2,-7,0,-2,-1
1441193758142890,0,0,0,-3,0,0,-1,-6
1441193758142890,-1,-6,-3,7,-7,3,-2,-1
1441193758157741,2,0,0,-22,-2,2,0,2
1441193758157741,-1,-4,2,6,0,-4,-1,1
1441193758166723,-3,1,-4,1,-2,0,-1,-5
1441193758166723,-1,0,4,-3,-4,-4,0,-2
1441193758174688,0,-1,-1,0,1,-1,2,-2
1441193758174688,1,0,-1,0,2,0,-1,-4
1441193758221691,-2,-2,-3,3,-4,-2,1,-1
1441193758221691,5,0,-3,-17,-1,-4,1,8
1441193758222693,0,-2,-1,-2,0,0,-1,-3
1441193758222693,-5,-2,0,0,0,0,-3,-5
1441193758223687,-2,4,-2,-1,2,1,-1,1
1441193758223687,3,-2,-2,2,-3,1,6,4
1441193758225709,3,0,1,-2,3,-1,-1,-2
1441193758225709,-6,1,-1,0,-3,-2,-1,-6
1441193758234688,-5,-2,1,-7,2,1,-3,-1
1441193758234688,2,-2,0,3,2,-3,-3,4
1441193758240806,2,2,-2,-2,-6,0,2,4
1441193758240806,-2,-1,-4,-1,0,1,-3,-6
1441193758249691,-5,-1,3,-11,1,-1,-1,-4
1441193758249691,1,-1,1,8,2,0,3,4
1441193758262750,0,-1,1,-3,0,0,-2,1
1441193758262750,-2,3,-2,-2,-1,0,0,-6
1441193758272690,0,-1,-1,3,-2,-2,1,-2
1441193758272690,3,-3,-2,3,1,1,-1,4
1441193758277964,0,1,1,0,-1,-5,-1,-1
1441193758277964,-3,-2,6,-2,3,-2,-2,-4
1441193758294693,2,-1,0,5,-3,-1,-3,-1
1441193758294693,1,-1,-1,-11,1,-1,-1,-1
1441193758300695,-1,-1,1,12,-2,2,-1,-2
1441193758300695,-1,-3,-4,-8,-2,-1,-1,1
1441193758310693,1,-1,-4,1,-2,-1,4,0
1441193758310693,-1,-2,0,0,-2,1,-1,-1
1441193758322944,1,2,-5,-6,3,-1,-2,-1
1441193758322944,-3,0,2,5,-1,1,-2,-3
1441193758331694,1,0,-1,-1,0,-1,-3,2
1441193758331694,1,1,-2,7,1,1,0,-1
1441193758337951,-1,-2,-1,-3,0,0,-3,0
1441193758337951,-2,0,-1,-9,-3,-3,-1,-1
1441193758354694,0,-3,-2,7,1,1,0,0
1441193758354694,-1,-2,0,-13,-4,-5,1,0
1441193758360696,-2,0,-2,4,-1,-1,-4,-1
1441193758360696,0,-4,1,2,1,2,-1,-1
1441193758369695,1,-1,1,0,0,0,0,-1
1441193758369695,-2,-4,1,2,3,-1,-2,-1
1441193758382895,-1,-1,-1,-1,1,-3,3,-1
1441193758382895,0,1,0,3,-2,0,-1,0
1441193758391694,-1,-3,0,-3,0,-1,2,-2
1441193758391694,1,0,-2,3,-2,-2,-1,1
1441193758397692,-3,-2,1,9,-5,-2,0,-1
1441193758397692,-1,0,-4,-14,-1,0,0,-4
1441193758414692,-2,0,-1,0,-1,0,0,2
1441193758414692,-2,-2,-2,-11,-2,2,-1,-2
1441193758420775,-1,-1,1,-4,0,1,-1,-1
1441193758420775,0,0,0,0,-2,-2,-3,-2
1441193758429692,0,-2,0,-3,2,-1,-2,-1
1441193758429692,-1,2,0,3,-3,1,1,-2
1441193758442689,-2,-3,0,2,-2,2,0,-1
1441193758442689,-1,-2,-5,-4,0,1,2,0
1441193758451692,1,1,2,10,-1,1,-1,2
1441193758451692,-1,-3,-5,11,-2,-3,-1,3
1441193758457874,1,0,0,-23,0,2,-2,-2
1441193758457874,-1,1,1,5,1,-2,-1,0
1441193758474697,1,-2,-4,-1,-5,-2,1,0
1441193758474697,0,0,-2,-7,-2,0,0,-1
1441193758480829,-1,1,-3,9,0,0,2,-4
1441193758480829,-1,-2,1,-5,-2,-2,-2,-2
1441193758489693,0,-3,-9,-13,-2,-1,0,0
1441193758489693,-1,-3,4,7,-4,2,-1,1
1441193758502696,-4,0,-2,-6,-2,-2,0,-2
1441193758502696,0,-1,-1,4,1,-4,-3,-2
1441193758512693,-1,1,0,0,0,0,0,0
1441193758512693,-1,0,2,4,-3,-3,-2,0
1441193758525897,-3,-1,-1,-14,-1,-2,-1,0
1441193758525897,-1,-3,0,13,-5,-2,1,-2
1441193758534698,0,2,-1,-3,-4,-1,-1,-1
1441193758534698,0,1,5,2,1,-1,0,0
1441193758540716,-1,-1,-1,-9,-3,1,-2,-2
1441193758540716,-5,0,-2,3,2,2,1,-3
1441193758549694,7,0,-1,3,0,-2,-3,1
1441193758549694,-1,-3,-3,2,-1,2,-1,-3
1441193758562930,1,-3,1,-10,-4,-1,1,-4
1441193758562930,-4,1,0,2,-2,-3,0,-2
1441193758571696,-3,-2,0,-1,-5,-1,-1,-1
1441193758571696,0,-1,2,-4,1,0,1,0
1441193758585779,-3,-2,0,18,0,-3,-1,1
1441193758585779,5,2,-4,-1,-4,0,-2,-1
1441193758594695,-1,-1,1,-2,-2,-1,1,1
1441193758594695,0,3,-5,-8,1,-1,0,0
1441193758600800,0,0,2,7,1,0,-1,-2
1441193758600800,0,-2,0,-5,-1,1,0,0
1441193758609697,-1,-2,0,3,0,-2,-1,0
1441193758609697,-2,-2,0,-1,-1,-1,-4,0
1441193758623010,0,-1,2,2,-2,1,-4,-1
1441193758623010,-2,0,1,3,-1,0,1,0
1441193758632695,-1,-2,0,4,3,-2,2,-2
1441193758632695,1,1,-3,-2,2,-2,0,-1
1441193758653925,0,1,-4,0,-2,-2,-1,-2
1441193758653925,1,-3,0,6,-1,1,-3,0
1441193758655696,-1,-1,-3,6,4,0,-1,-1
1441193758655696,0,0,1,2,-2,-2,-2,-2
1441193758660830,-1,0,-5,-1,-2,-3,-1,0
1441193758660830,-2,-2,1,-2,1,-2,1,0
1441193758669697,-2,-1,-1,-4,-2,0,-2,1
1441193758669697,-1,-1,-1,-2,-1,1,-1,-1
1441193758682758,-1,0,-1,2,3,-1,-4,-3
1441193758682758,1,-2,-1,6,-5,-1,-3,1
1441193758691699,0,0,1,-5,-3,-2,2,-1
1441193758691699,-2,-3,-6,-6,3,0,0,-1
1441193758705857,0,-1,-1,4,-2,0,0,-2
1441193758705857,0,1,-3,-10,0,-3,-1,-1
1441193758714702,0,-1,4,14,-3,1,0,-1
1441193758714702,1,0,1,2,-5,0,2,-1
1441193758720819,-2,-2,-1,-3,1,0,0,-1
1441193758720819,0,-3,-2,-1,1,-5,-1,1
1441193758729702,-1,0,-3,-18,-3,-1,-4,-2
1441193758729702,0,1,3,6,-3,-1,-1,0
1441193758742958,-1,-2,-3,-2,0,-1,4,0
1441193758742958,0,-3,0,-3,1,2,0,-1
1441193758751741,-2,-3,-2,2,-3,-5,-1,2
1441193758751741,-1,-4,-2,-2,-1,-3,-2,0
1441193758765852,-1,-1,1,-2,-2,0,-1,-3
1441193758765852,-2,0,0,3,-4,1,-2,1
1441193758774702,1,0,-2,-3,1,-2,2,0
1441193758774702,0,-4,0,-2,1,3,-6,-4
1441193758780699,-2,-1,-2,-18,-5,-1,1,1
1441193758780699,-1,-1,-1,-5,1,0,-2,-2
1441193758789702,-1,-2,1,7,0,1,-2,-3
1441193758789702,0,4,1,0,-3,-1,0,-4
1441193758802914,0,1,1,4,-2,-1,-2,-2
1441193758802914,-1,1,0,-3,-2,0,1,-1
1441193758812703,-1,-1,0,-1,0,0,-2,3
1441193758812703,-1,1,-3,-3,1,-2,-1,0
1441193758825703,2,0,0,2,-2,-3,-1,-2
1441193758825703,0,1,-1,2,-1,-3,2,0
1441193758834699,0,-1,0,0,-4,2,-1,1
1441193758834699,-1,-4,-1,0,-4,-1,-2,-1
1441193758840777,0,2,1,2,3,-2,-5,-2
1441193758840777,0,-3,-2,11,-4,-2,0,-2
1441193758855846,-1,-2,-3,-10,1,-2,1,-1
1441193758855846,0,1,-5,-13,1,-1,-2,-1
1441193758862787,-1,-1,-2,6,1,0,0,-1
1441193758862787,0,1,0,-5,6,-1,-3,-1
1441193758872706,2,-2,2,-2,2,-1,-2,-1
1441193758872706,0,-2,-3,4,-5,0,3,1
1441193758885850,-1,-1,2,0,-2,3,-2,-1
1441193758885850,1,-2,-2,-2,-7,0,-1,2
1441193758894705,-7,3,-2,-8,-1,1,-3,1
1441193758894705,17,-2,1,3,3,-1,-3,-4
1441193758900767,-4,-1,-3,-3,0,2,1,-2
1441193758900767,0,-4,-1,-1,-2,-1,0,-3
1441193758915915,-2,0,-2,-2,-4,1,-2,2
1441193758915915,-6,-1,2,2,-1,-2,1,-2
1441193758922718,0,1,-1,-8,1,-2,-1,-2
1441193758922718,1,0,-2,15,1,-2,-3,2
1441193758932700,0,-4,-2,1,-1,-1,0,-1
1441193758932700,-5,0,-2,-3,3,1,3,1
1441193758945843,-2,-1,1,9,-2,0,-3,1
1441193758945843,-5,-1,-2,-6,3,0,-1,-1
1441193758954703,2,0,1,0,0,-3,-3,0
1441193758954703,-2,-2,0,6,-3,-3,1,0
1441193758960762,-1,-5,0,5,1,0,3,-2
1441193758960762,0,1,-3,-16,-3,0,-1,0
1441193758975707,-1,-2,2,11,1,1,2,0
1441193758975707,-1,-5,0,0,-2,0,0,-2
1441193758982961,-2,-3,-1,1,-1,0,-3,0
