timestamp,x,y,z
1441193757932692,7.875,0,0.0625
1441193757949678,4.625,-0.1875,-0.3125
1441193757970679,-4.4375,-2.8125,0.875
1441193757996682,-2.0625,-1.625,0.8125
1441193758009681,3.8125,0.0625,0.625
1441193758030864,-0.875,0.8125,-0.25
1441193758054804,-3.5625,0.9375,0.0625
1441193758100943,-3.125,1.5625,-0.5
1441193758102685,-2.3125,2.25,-0.75
1441193758113909,-1.625,3.4375,-0.875
1441193758129686,-3.625,3.8125,0.375
1441193758151686,-3.25,4.5,0.5625
1441193758173885,-2.6875,5.375,1
1441193758210846,-3.5,4.75,1.4375
1441193758220692,-2,4.9375,1.3125
1441193758233905,0,4.75,1.875
1441193758248721,-0.375,3.8125,1.8125
1441193758271694,-0.9375,3,1.5625
1441193758293916,0,2.8125,1.625
1441193758308848,0.25,2.25,0.9375
1441193758330896,-1.1875,1.0625,0.5625
1441193758353931,-2.0625,0,0.1875
1441193758368870,-1.375,-0.375,0.1875
1441193758391694,0.0625,-1.25,0
1441193758413918,0.1875,-1.4375,-0.3125
1441193758428691,-1,-0.5,-0.4375
1441193758450914,-1.75,-0.4375,-0.5
1441193758473836,-0.9375,-0.0625,-1
1441193758488912,-0.125,0.25,-1
1441193758511736,-0.1875,0.5625,-0.3125
1441193758533888,0.4375,1.125,-0.125
1441193758548897,0.5625,2.375,-0.625
1441193758571696,0.5625,1.9375,-0.25
1441193758594695,0.25,2,0
1441193758608818,0.25,1.5625,-0.1875
1441193758631703,2,1.1875,-0.375
1441193758654696,1.625,1.1875,-0.75
1441193758668698,-0.25,1.5625,-0.9375
1441193758691699,-0.875,0.9375,-0.6875
1441193758713924,0.3125,1,-0.9375
1441193758728916,2.25,1.0625,-1.0625
1441193758751741,2,0.6875,-0.9375
1441193758773923,0.625,0.5,-0.3125
1441193758788922,0.75,0.5625,-0.5625
1441193758811777,1.125,-0.0625,-0.5625
1441193758833935,1.125,-0.4375,-0.375
1441193758847945,1.75,-0.6875,-0.3125
1441193758871704,1.4375,-0.3125,0
1441193758893846,0.5625,-0.1875,0.125
1441193758907903,0,-0.1875,0.0625
1441193758931701,1.25,0.1875,0.1875
1441193758953926,0.8125,0.6875,0
1441193758967932,0.9375,0.875,0.0625
1441193758990896,0.3125,0.9375,-0.125
1441193759006706,0.3125,1.0625,-0.1875
1441193759027942,0.3125,0.6875,-0.0625
1441193759050950,0.3125,0.875,0
1441193759066704,0.5,0.9375,-0.5625
1441193759088701,0.6875,0.25,-0.0625
1441193759111791,0.8125,-0.1875,0.3125
1441193759126705,-0.125,0,0.0625
1441193759147961,-0.1875,0.125,-0.125
1441193759171709,0.75,-0.125,0
1441193759186710,0.3125,-0.25,-0.1875
1441193759209711,-0.125,-0.0625,-0.0625
1441193759232712,0,0,0.0625
1441193759253973,0.3125,0.0625,0.25
1441193759269705,-0.0625,0,0.25
1441193759292744,0.25,0.0625,0.1875
1441193759306711,1,0,0.25
1441193759329731,0.375,-0.1875,0.1875
1441193759352713,0.1875,0,0.0625
1441193759373917,0.0625,-0.1875,0
1441193759389753,-0.125,-0.0625,-0.1875
1441193759412714,0.375,-0.0625,-0.5
1441193759433905,0.5625,-0.125,-0.25
1441193759449710,0.125,0.125,-0.4375
1441193759472716,-0.1875,0.0625,-0.3125
1441193759494716,0.5,0.25,-0.25
1441193759509718,0.4375,0.625,-0.1875
1441193759532713,0.125,0.5,0.0625
1441193759553890,0,0.625,0.0625
1441193759569716,-0.375,0.375,0
1441193759592714,0.4375,0.625,0.375
1441193759613926,0.5625,0.5,0.1875
1441193759629785,0.25,0.9375,0.3125
1441193759652732,0.125,0.5625,0.25
1441193759673921,0.5625,0.625,0.375
1441193759689720,0.625,0.8125,0
1441193759712717,0.125,0.5,0
1441193759733917,0.125,0.375,-0.125
1441193759749716,0.1875,0.625,-0.5
1441193759772717,0.125,0.3125,-0.5625
1441193759795721,0.0625,0.75,-0.25
1441193759809722,-0.25,0.375,-0.375
1441193759831721,0.1875,0.3125,-0.125
1441193759854721,0.3125,0.25,0
1441193759869738,0.375,0.1875,-0.1875
1441193759891724,0.5625,0.1875,-0.0625
1441193759915723,0.0625,0.1875,-0.0625
1441193759929784,-0.375,-0.125,0
1441193759951724,0.3125,0,-0.0625
1441193759974723,0.4375,-0.0625,0.0625
1441193759989722,0.25,0,-0.1875
1441193760011729,0.5,0.125,-0.25
1441193760035725,0.3125,-0.0625,-0.125
1441193760049724,0.3125,-0.125,0.125
1441193760071728,0.75,0.0625,0.25
1441193760094765,0.625,0.0625,0
1441193760109725,-0.0625,-0.0625,0.1875
1441193760131725,0.4375,0.1875,-0.0625
1441193760154727,0.9375,0,-0.1875
1441193760169729,0.375,-0.0625,-0.375
1441193760191727,0,-0.0625,-0.0625
1441193760215729,0.3125,0.1875,-0.1875
1441193760229727,0.3125,0.3125,-0.0625
1441193760251731,0.0625,0.0625,-0.0625
1441193760275730,0.875,0.3125,0
1441193760289727,0.375,0.25,0
1441193760311728,-0.0625,0.375,-0.0625
1441193760334730,0.1875,0.0625,0.125
1441193760349732,0.75,0.25,0.1875
1441193760371734,0.4375,0,-0.0625
1441193760394731,0.6875,0,-0.0625
1441193760416736,0.1875,0,0.1875
1441193760431731,0.8125,0.125,0.125
1441193760454735,0.5625,0.1875,-0.25
1441193760476734,0.375,0.0625,-0.3125
1441193760491733,0.8125,-0.1875,-0.3125
1441193760514855,0.5,-0.125,-0.375
1441193760535976,0.5625,-0.125,-0.4375
1441193760551734,0.9375,-0.1875,-0.5
1441193760574738,0.8125,-0.25,-0.4375
1441193760596733,0.6875,-0.125,-0.5625
1441193760611738,0.375,-0.0625,-0.4375
1441193760634737,0.4375,-0.125,-0.375
1441193760656735,0.6875,-0.1875,-0.1875
1441193760671737,0.5625,-0.25,-0.1875
1441193760694747,1.0625,0.1875,0
1441193760716739,0.875,0.25,-0.375
1441193760730967,0.375,-0.1875,-0.375
1441193760745824,0.5625,0.0625,-0.25
1441193760767989,0.75,0.3125,-0.1875
1441193760790976,0.3125,0.0625,0.0625
1441193760805849,0.4375,0.0625,0.1875
1441193760827989,0.6875,0.125,0.1875
1441193760850967,1.25,0,0.125
1441193760865819,0.4375,-0.0625,0.0625
